air_intake_temp_unit,air_intake_temp_value,altitude_unit,altitude_value,ambient_air_temp_unit,ambient_air_temp_value,barometric_pressure_unit,barometric_pressure_value,dtc_number,engine_coolant_temp_unit,engine_coolant_temp_value,engine_load_value,engine_rpm_unit,engine_rpm_value,engine_runtime,epoch,equiv_ratio_value,fuel_level_value,intake_manifold_pressure_unit,intake_manifold_pressure_value,latitude,longitude,maf_unit,maf_value,short term fuel trim bank 1,speed_unit,speed_value,throttle_pos_value,timing_advance_value,vehicle_id
C,33,m,44,C,28,kPa,100,MIL is OFF0 codes,C,83,0.882,RPM,2226,00:07:45,XXXXX,0.01,0.718,kPa,60,-3.520235,-58.530674,g/s,29,-0.008,km/h,52,0.365,0.671,s11
C,36,m,46,C,28,kPa,100,MIL is OFF0 codes,C,82,0.792,RPM,2124,00:03:02,XXXXX,0.01,0.745,kPa,61,-3.520429,-58.321307,g/s,24,-0.016,km/h,48,0.349,0.667,s11
C,36,m,52,C,28,kPa,100,MIL is OFF0 codes,C,83,0.784,RPM,2617,00:03:08,XXXXX,0.01,0.741,kPa,44,-3.52038,-58.323103,g/s,30,-0.047,km/h,60,0.361,0.682,s11
C,36,m,45,C,28,kPa,100,MIL is OFF0 codes,C,82,0.373,RPM,3156,00:03:16,XXXXX,0.01,0.737,kPa,63,-3.52027,-58.328462,g/s,18,0,km/h,65,0.325,0.753,s11
C,36,m,34,C,28,kPa,100,MIL is OFF0 codes,C,82,0.38,RPM,1859,00:03:44,XXXXX,0.01,0.718,kPa,31,-3.519911,-58.356454,g/s,10,0.039,km/h,68,0.286,0.729,s11
C,36,m,32,C,28,(null),(null),MIL is OFF0 codes,C,83,0.871,RPM,775,00:04:04,XXXXX,0.01,0.698,kPa,76,-3.519711,-58.374773,g/s,5,0.031,km/h,30,0.204,0.596,s11
C,33,m,36,C,28,kPa,100,MIL is OFF0 codes,C,84,0.906,RPM,1726,00:09:13,XXXXX,0.01,0.702,kPa,63,-3.519738,-58.569613,g/s,23,-0.055,km/h,56,0.349,0.639,s11
C,33,m,37,C,28,kPa,100,MIL is OFF0 codes,C,84,0.604,RPM,2017,00:09:21,XXXXX,0.01,0.706,kPa,38,-3.519648,-58.576573,g/s,18,-0.062,km/h,61,0.325,0.686,s11
C,34,m,36,C,28,kPa,100,MIL is OFF0 codes,C,83,0.267,RPM,1932,00:09:41,XXXXX,0.01,0.718,kPa,19,-3.519407,-58.595535,g/s,7,0,km/h,54,0.259,0.757,s11
C,34,m,36,C,28,kPa,100,MIL is OFF0 codes,C,83,0.176,RPM,1744,00:09:45,XXXXX,0.01,0.718,kPa,19,-3.51936,-58.599025,g/s,4,0,km/h,46,0.224,0.631,s11
C,34,m,47,C,28,kPa,100,MIL is OFF0 codes,C,89,0.184,RPM,1841,00:38:12,XXXXX,0.01,0.686,kPa,19,-3.520546,-58.315664,g/s,5,0,km/h,27,0.227,0.631,s11
C,34,m,47,C,28,kPa,100,4101000761001:00410100076100,C,89,0.204,RPM,879,00:38:16,XXXXX,0.01,0.682,kPa,32,-3.520569,-58.314917,g/s,3,0.125,km/h,12,0.204,0.678,s11
C,33,m,43,C,28,kPa,100,(null),C,89,0.608,RPM,1552,00:38:24,XXXXX,0.01,0.667,kPa,51,-3.520579,-58.315558,g/s,14,-0.039,km/h,18,0.318,0.525,s11
C,34,m,34,C,28,kPa,100,MIL is OFF0 codes,C,83,0.388,RPM,793,00:09:53,XXXXX,0.01,0.706,kPa,34,-3.519289,-58.604473,g/s,4,-0.016,km/h,7,0.204,0.557,s11
